feature_name,model_mode
batch_weight_ton,Mode_A_PostBatch_Diagnosis
weight_pct_solid_elastomer,Mode_A_PostBatch_Diagnosis
weight_pct_natural_rubber,Mode_A_PostBatch_Diagnosis
weight_pct_silica,Mode_A_PostBatch_Diagnosis
weight_pct_oil,Mode_A_PostBatch_Diagnosis
weight_pct_silian,Mode_A_PostBatch_Diagnosis
weight_pct_carbon_black,Mode_A_PostBatch_Diagnosis
silica_phr,Mode_A_PostBatch_Diagnosis
supplier_rubber_viscosity_avg,Mode_A_PostBatch_Diagnosis
supplier_silica_surface_area_avg,Mode_A_PostBatch_Diagnosis
supplier_carbon_black_structure_avg,Mode_A_PostBatch_Diagnosis
Stage2_DryMixing_Duration,Mode_A_PostBatch_Diagnosis
Stage4_WetMixing_Duration,Mode_A_PostBatch_Diagnosis
Stage5_PID_Duration,Mode_A_PostBatch_Diagnosis
Stage6_BottomMixing_Duration,Mode_A_PostBatch_Diagnosis
Target_Temperature,Mode_A_PostBatch_Diagnosis
Top_Fill_Factor,Mode_A_PostBatch_Diagnosis
Stage2_DryMixing_RotorSpeed_Mean,Mode_A_PostBatch_Diagnosis
Stage5_PID_temp_Mean,Mode_A_PostBatch_Diagnosis
phys_power_integral,Mode_A_PostBatch_Diagnosis
phys_discharge_temp,Mode_A_PostBatch_Diagnosis
phys_max_power_drop_rate,Mode_A_PostBatch_Diagnosis
phys_avg_power,Mode_A_PostBatch_Diagnosis
phys_temp_rise_rate,Mode_A_PostBatch_Diagnosis
Stage2_DryMixing_power_Integral,Mode_A_PostBatch_Diagnosis
Stage4_WetMixing_power_Integral,Mode_A_PostBatch_Diagnosis
Stage5_PID_power_Integral,Mode_A_PostBatch_Diagnosis
Stage6_BottomMixing_power_Integral,Mode_A_PostBatch_Diagnosis
MixerLine=MB02,Mode_A_PostBatch_Diagnosis
MixerLine=MB03,Mode_A_PostBatch_Diagnosis
MixerLine=ML05,Mode_A_PostBatch_Diagnosis
MixerLine=ML07,Mode_A_PostBatch_Diagnosis
MixerLine=ML09,Mode_A_PostBatch_Diagnosis
MixerLine=ML10,Mode_A_PostBatch_Diagnosis
material_system=CarbonBlack,Mode_A_PostBatch_Diagnosis
material_system=Silica,Mode_A_PostBatch_Diagnosis
phase_route=NoOilDry,Mode_A_PostBatch_Diagnosis
phase_route=OilWet,Mode_A_PostBatch_Diagnosis
