feature_name,importance
Stage6_BottomMixing_Duration,139
Stage5_PID_Duration,73
Stage2_DryMixing_Duration,63
Top_Fill_Factor,59
Stage4_WetMixing_Duration,46
weight_pct_carbon_black,40
Stage2_DryMixing_RotorSpeed_Mean,38
weight_pct_oil,38
weight_pct_solid_elastomer,32
weight_pct_natural_rubber,31
Target_Temperature,25
supplier_carbon_black_structure_avg,24
weight_pct_silica,23
weight_pct_silian,22
Stage5_PID_temp_Mean,22
supplier_silica_surface_area_avg,20
supplier_rubber_viscosity_avg,15
silica_phr,6
