CompoundName,material_system,phase_route,system_route_branch,actual_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_ton,mooney_pred,mooney_lower,mooney_upper,recommendation_status
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,112.74,98.05,112.74,42.22,40.46,43.99,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,109.96,98.05,109.96,42.42,40.66,44.18,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,108.87,98.05,108.87,42.22,40.45,43.98,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,117.12,117.12,117.12,41.5,39.73,43.26,NO_VALID_CANDIDATE
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,112.13,112.13,112.13,41.43,39.67,43.19,NO_VALID_CANDIDATE
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,109.62,109.62,109.62,41.58,39.82,43.35,NO_VALID_CANDIDATE
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,112.13,98.05,112.13,41.52,39.75,43.28,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,109.72,98.05,109.72,41.77,40.01,43.54,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,110.01,98.05,110.01,41.21,39.44,42.97,RECOMMENDED
M1-B00458---- 12 004,CarbonBlack,OilWet,CarbonBlack_OilWet,112.23,98.05,112.23,42.31,40.55,44.07,RECOMMENDED
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,115.44,115.44,115.44,30.18,28.41,31.94,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,114.93,114.93,114.93,29.46,27.7,31.22,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,116.09,116.09,116.09,29.34,27.58,31.1,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,122.47,122.47,122.47,30.95,29.18,32.71,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,122.05,122.05,122.05,30.27,28.5,32.03,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,118.1,118.1,118.1,29.75,27.99,31.51,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,130.23,130.23,130.23,30.35,28.59,32.12,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,131.21,131.21,131.21,29.79,28.03,31.56,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,123.52,123.52,123.52,29.8,28.04,31.57,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,126.77,126.77,126.77,29.5,27.73,31.26,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,104.06,104.06,104.06,33.75,31.98,35.51,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,103.98,103.98,103.98,33.62,31.85,35.38,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,107.18,107.18,107.18,33.54,31.78,35.3,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,105.72,105.72,105.72,40.68,38.91,42.44,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,108.26,108.26,108.26,41.2,39.43,42.96,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,100.37,100.37,100.37,40.79,39.03,42.55,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,101.8,101.8,101.8,40.87,39.11,42.64,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,111.36,100.24,111.36,41.26,39.5,43.03,RECOMMENDED
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,107.25,107.25,107.25,40.89,39.13,42.66,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,107.34,107.34,107.34,39.84,38.08,41.61,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,109.02,100.24,109.02,40.68,38.91,42.44,RECOMMENDED
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,106.58,106.58,106.58,40.22,38.45,41.98,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,108.03,108.03,108.03,40.11,38.35,41.87,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,105.51,105.51,105.51,34.63,32.87,36.39,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,102.94,102.94,102.94,34.0,32.24,35.77,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,106.78,106.78,106.78,33.7,31.93,35.46,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,104.49,104.49,104.49,33.17,31.4,34.93,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,104.57,104.57,104.57,33.21,31.45,34.98,NO_VALID_CANDIDATE
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,104.09,104.09,104.09,33.2,31.44,34.97,NO_VALID_CANDIDATE
