report_section,subset_definition,OrderID,BatchNumber,CompoundName,MixerLine,material_system,phase_route,system_route_branch,energy_bucket,high_energy_flag,is_top10_kwh_per_batch,is_top10_kwh_per_ton,branch_high_energy_batch_flag,branch_high_energy_ton_flag,high_energy_probability,high_energy_specialist_active,actual_kwh_per_batch,mode_b_predicted_kwh_per_batch,high_energy_adjusted_prediction_kwh_per_batch,high_energy_residual_correction_kwh,batch_weight_ton,actual_kwh_per_ton,mode_b_predicted_kwh_per_ton,high_energy_adjusted_prediction_kwh_per_ton,model_gap_kwh,abs_model_gap_kwh,model_gap_pct_of_actual,abs_model_gap_pct,sample_count,MAE_kWh,RMSE_kWh,R2,MAPE_pct,MAE_kWh_per_ton,Hit_2kWh_pct,Hit_5pct_pct,feature_name,feature_rationale,feature_availability,implementation_status
TOP10_SAMPLE,TOP10_UNION,1782804,2.0,M1-T33025W3-- 04 004,ML09,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_BATCH,1.0,True,True,1.0,1.0,0.8314778836984072,True,50.42194382938938,48.076642222812985,50.96333564935901,2.8866934265460236,0.15,336.1462921959292,320.5109481520866,339.75557099572677,-2.345301606576392,2.345301606576392,-4.65135103579523,4.65135103579523,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1782804,3.0,M1-T33025W3-- 04 004,ML09,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_BATCH,1.0,True,True,0.0,0.0,0.8345084546894016,True,47.650775316579505,47.775986262531134,50.66267968907716,2.8866934265460236,0.15,317.67183544386336,318.5065750835409,337.75119792718107,0.12521094595162907,0.12521094595162907,0.26276790906288455,0.26276790906288455,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1782804,4.0,M1-T33025W3-- 04 004,ML09,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_TON,1.0,False,True,0.0,0.0,0.710537791814719,True,47.49644722802933,47.57242238289152,50.91386616864464,3.34144378575312,0.15,316.6429815201956,317.14948255261015,339.42577445763095,0.07597515486218498,0.07597515486218498,0.15995965866126793,0.15995965866126793,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1782804,5.0,M1-T33025W3-- 04 004,ML09,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_BATCH,1.0,True,True,0.0,0.0,0.8486092855478008,True,47.609386427690616,47.8386517015859,50.784635713098154,2.9459840115122526,0.15,317.39590951793747,318.9243446772394,338.56423808732103,0.22926527389528673,0.22926527389528673,0.4815547754296225,0.4815547754296225,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1782804,6.0,M1-T33025W3-- 04 004,ML09,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_TON,1.0,False,True,0.0,0.0,0.9190343973041659,True,46.91093580448057,48.392676219805274,51.43563106106324,3.042954841257969,0.15,312.7395720298705,322.6178414653685,342.90420707375495,1.4817404153247011,1.4817404153247011,3.1586247213238847,3.1586247213238847,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1907516,4.0,M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_TON,1.0,False,True,0.0,0.0,0.8532255595800698,True,46.772999400155534,47.334745161584074,48.82767450501506,1.4929293434309896,0.15,311.8199960010369,315.5649677438938,325.51783003343377,0.5617457614285399,0.5617457614285399,1.2010043585673318,1.2010043585673318,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1925692,2.0,M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_TON,1.0,False,True,0.0,0.0,0.9270863812500283,True,46.65926538123593,48.15291966135816,49.28563548852242,1.132715827164259,0.15,311.0617692082396,321.0194644090544,328.57090325681617,1.4936542801222288,1.4936542801222288,3.201195449431365,3.201195449431365,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1925692,3.0,M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_BATCH,1.0,True,True,0.0,0.0,0.9270863812500283,True,47.76573837607662,48.15291966135816,49.344474027166235,1.1915543658080752,0.15,318.4382558405108,321.0194644090544,328.96316018110826,0.3871812852815424,0.3871812852815424,0.8105836912498382,0.8105836912498382,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1971355,4.0,M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_BATCH,1.0,True,True,0.0,0.0,0.9270863812500283,True,48.14245480767838,47.907761184612035,49.7096337927425,1.8018726081304668,0.15,320.9496987178559,319.38507456408024,331.39755861828337,-0.23469362306634167,0.23469362306634167,-0.4874982466180967,0.4874982466180967,,,,,,,,,,,,
TOP10_SAMPLE,TOP10_UNION,1971355,6.0,M1-T33025W3-- 03 005,ML07,Silica,OilWet,Silica_OilWet,TOP_10PCT_KWH_PER_TON,1.0,False,True,0.0,0.0,0.9167954590203269,True,46.84060635595998,47.49098972243766,49.455060618708586,1.9640708962709226,0.15,312.2707090397332,316.60659814958444,329.70040412472395,0.6503833664776835,0.6503833664776835,1.3885033031706877,1.3885033031706877,,,,,,,,,,,,
