CompoundName,MixerLine,material_system,phase_route,template_id,historical_order_id,historical_batch_number,historical_actual_kwh,historical_actual_mooney,historical_best_actual_saving_pct,candidate_role,profile_Stage2_DryMixing_Duration,profile_Stage3_OilLoading_Duration,profile_Stage4_WetMixing_Duration,profile_Stage5_PID_Duration,profile_Stage6_BottomMixing_Duration,profile_Target_Temperature,context_difference_ambient_temperature_difference,context_difference_ambient_humidity_difference,context_difference_material_initial_temperature_difference,context_difference_batch_weight_difference,context_difference_fill_factor_difference,context_difference_supplier_COA_difference,context_difference_raw_material_lot_difference,context_difference_mixer_line_difference,context_difference_route_difference,context_difference_historical_batch_age_days
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1836818,1836818,2,25.0825,40.016666666666666,13.02,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,26.0,5.0,24.0,36.0,145.0,7.2,25.0,34.0,0.0,0.0,20.2,0,0,0,-25
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1885820,1885820,2,25.086666666666666,42.47666666666667,13.01,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,25.0,5.0,22.0,48.0,145.0,14.0,24.0,35.0,0.0,0.0,23.65,0,0,0,-52
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,2025~1742938,2025~1742938,3,25.091738605906297,44.1,12.99,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,26.0,10.0,23.0,31.0,145.0,4.9,13.0,24.0,0.0,0.0,23.0,0,0,0,23
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,2025~1734360,2025~1734360,1,25.1025,40.92333333333334,12.95,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,25.0,11.0,23.0,33.0,145.0,9.2,24.0,9.0,0.0,0.0,21.225,0,0,0,27
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1846817,1846817,1,25.143194444444443,42.873333333333335,12.81,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,26.0,8.0,21.0,38.0,145.0,12.7,30.0,13.0,0.0,0.0,20.95,0,0,0,-30
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,2209970,2209970,3,25.14388888888889,41.92,12.81,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,22.0,5.0,30.0,37.0,145.0,5.0,10.0,39.0,0.0,0.0,21.7,0,0,0,-231
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1844458,1844458,1,25.152638888888887,42.906666666666666,12.78,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,26.0,5.0,22.0,39.0,145.0,12.7,30.0,13.0,0.0,0.0,20.95,0,0,0,-30
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1860237,1860237,3,25.161944444444444,44.88666666666666,12.75,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,26.0,5.0,18.0,47.0,145.0,14.3,23.0,40.0,0.0,0.0,22.75,0,0,0,-39
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,1889333,1889333,3,25.179166666666667,42.53666666666667,12.69,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,25.0,5.0,26.0,47.0,145.0,17.3,21.0,47.0,0.0,0.0,23.35,0,0,0,-55
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,2025~1711196,2025~1711196,2,25.184583333333332,40.10333333333333,12.67,HISTORICAL_TEMPLATE_AND_BENCHMARK_ONLY,45.0,25.0,12.0,25.0,37.0,145.0,0.3,15.0,35.0,0.0,0.0,21.85,0,0,0,42
