CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 003;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003,0.979,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-13.0,0.0,-75.0
M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 003;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003,0.98,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-5.0,0.0,-74.0
M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A00268R2-- 05 006;M1-A00268R2-- 05 003;M1-A00268R2-- 05 001;M1-A44268---- 01 002;M1-A00205W3-- 03 003,0.98,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-5.0,0.0,-78.0
M1-T17771---- 05 002,MB03,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17771---- 05 001;M1-T17771B1-- 01 002;M1-T17771---- 05 003;M1-T17771X6-- 01 005;M1-T33025W3-- 07 003,0.996,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,1.81,0.0,34.0,50.0,134.0,0.0,0.0,0.0,0.0
M1-T17771---- 05 002,MB03,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17771---- 05 001;M1-T17771B1-- 01 002;M1-T17771---- 05 003;M1-T17771X6-- 01 005;M1-T33025W3-- 07 003,0.996,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,2.69,0.0,35.0,50.0,134.0,0.0,0.0,0.0,0.0
M1-T02128W5-- 04 003,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T02128W5-- 04 004;M1-T02128W5-- 04 006;M1-T02128W5-- 04 002;M1-T33025W3-- 03 004;M1-T33025W3-- 03 005,0.983,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,-17.66,0.0,80.0,40.0,82.0,0.0,0.0,0.0,0.0
M1-T02128W5-- 04 003,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T02128W5-- 04 004;M1-T02128W5-- 04 006;M1-T02128W5-- 04 002;M1-T33025W3-- 03 004;M1-T33025W3-- 03 005,0.982,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,-17.33,0.0,72.0,37.0,81.0,0.0,0.0,0.0,0.0
M1-T02128W5-- 04 003,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T02128W5-- 04 004;M1-T02128W5-- 04 006;M1-T02128W5-- 04 002;M1-T33025W3-- 03 004;M1-T33025W3-- 03 005,0.982,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,-24.25,0.0,75.0,34.0,81.0,0.0,0.0,0.0,0.0
M1-T17771---- 05 002,MB03,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17771---- 05 001;M1-T17771B1-- 01 002;M1-T17771---- 05 003;M1-T17771X6-- 01 005;M1-T33025W3-- 07 003,0.986,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,4.55,0.0,30.0,47.0,133.0,0.0,0.0,0.0,0.0
M1-S00211---- 10 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-S00211B--- 05 003;M1-T15760---- 06 002;M1-T15760B--- 01 003;M1-T15760---- 06 001;M1-T15760XP-- 01 003,0.97,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,False,0.0,16.0,0.0,68.0,20.0,90.0,0.0,0.0,0.0,0.0
M1-T30087---- 08 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17732---- 06 002;M1-T09170---- 24 001;M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001,0.917,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,False,0.0,5.63,0.0,50.0,50.0,73.0,0.0,0.0,0.0,0.0
