CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.29,13.03,45.0,10.0,0.0,31.0,1.0,1.0,0.0,-22.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.994,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.2,10.83,45.0,10.0,0.0,31.0,0.0,5.0,0.0,-22.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.08,9.94,45.0,10.0,0.0,31.0,0.0,5.0,0.0,-21.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.84,12.56,45.0,10.0,0.0,31.0,0.0,-2.0,0.0,-23.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.71,10.63,45.0,10.0,0.0,31.0,0.0,-1.0,0.0,-21.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.71,10.87,45.0,10.0,0.0,31.0,0.0,-3.0,0.0,-21.0
M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.997,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.71,12.63,45.0,10.0,0.0,31.0,-1.0,0.0,0.0,-21.0
M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1121,5,M1-B00458XM-- 04 002;M1-B00458XV-- 01 002;M1-B00458B1-- 02 003;M1-B00458B1-- 02 002;M1-B00458B1-- 02 001,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,6.85,9.98,60.0,5.0,0.0,33.0,9.0,-21.0,0.0,-20.0
M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1121,5,M1-B00458XM-- 04 002;M1-B00458XV-- 01 002;M1-B00458B1-- 02 003;M1-B00458B1-- 02 002;M1-B00458B1-- 02 001,0.996,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,8.11,8.06,60.0,5.0,0.0,33.0,9.0,-31.0,0.0,-20.0
M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L4_PILOT_READY,1121,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.988,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,HIGH,False,16.41,25.56,60.0,5.0,0.0,34.0,0.0,0.0,0.0,-80.0
