CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,2.95,50.0,5.0,0.0,74.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,1.89,51.0,18.0,0.0,74.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,2.86,50.0,18.0,0.0,75.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163R4-- 01 003;M1-B00163XV-- 01 001;M1-B00163XV-- 01 002;M1-B00163XV-- 01 003;M1-B00163XM-- 02 003,0.992,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,False,0.0,3.09,51.0,22.0,0.0,97.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163R4-- 01 003;M1-B00163XV-- 01 001;M1-B00163XV-- 01 002;M1-B00163XV-- 01 003;M1-B00163XM-- 02 003,0.992,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,False,0.0,2.91,51.0,19.0,0.0,95.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XM-- 02 003,0.976,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,3.18,50.0,5.0,0.0,86.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.979,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,12.2,50.0,5.0,0.0,86.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.979,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,12.26,50.0,22.0,0.0,87.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XM-- 02 003,0.978,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,6.84,50.0,19.0,0.0,87.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163XV-- 01 003;M1-B00163XM-- 02 003,0.984,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,5.95,50.0,5.0,0.0,103.0,0.0,0.0,0.0,0.0
M1-B00163RT-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,20,5,M1-B00163RT-- 01 002;M1-A00205W3-- 03 003;M1-A00205W4-- 01 001;M1-A00205W3-- 03 002;M1-B00163R4-- 01 003,0.988,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,OUT_OF_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,0.94,34.0,3.0,0.0,97.0,0.0,0.0,0.0,0.0
M1-B00163RT-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,20,5,M1-B00163RT-- 01 002;M1-A00205W3-- 03 003;M1-A00205W4-- 01 001;M1-A00205W3-- 03 002;M1-B00163R4-- 01 003,0.991,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,OUT_OF_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,-0.51,34.0,5.0,0.0,97.0,0.0,0.0,0.0,0.0
M1-B00163RT-- 01 001,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L2_PRELIMINARY_RECIPE_WINDOW,20,5,M1-B00163RT-- 01 002;M1-A00205W3-- 03 003;M1-A00205W4-- 01 001;M1-A00205W3-- 03 002;M1-B00163R4-- 01 003,0.993,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,EXACT_RECIPE_MIXER_ROUTE,OUT_OF_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,HIGH,False,0.0,-3.3,34.0,5.0,0.0,98.0,0.0,0.0,0.0,0.0
