CompoundName,MixerLine,phase_route,current_kwh_per_batch,recommended_kwh_per_batch,saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration
M1-A00205W3-- 03 002,MB02,OilWet,28.810416666666665,22.14,0.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 003,MB02,OilWet,28.847916666666666,27.18,0.0,53.0,5.0,34.0,104.0
M1-A00205W4-- 01 001,MB02,OilWet,29.424188034188035,28.36,0.0,51.0,8.0,49.0,78.0
M1-A00268R2-- 05 003,MB02,OilWet,24.23226325757576,21.24,0.0,0.0,0.0,0.0,0.0
M1-A00268XM-- 02 004,MB02,OilWet,26.795972222222222,25.1,0.0,31.0,13.0,19.0,75.0
M1-A03391---- 09 001,MB03,OilWet,33.4345811287478,32.31,0.0,29.0,42.0,16.0,105.0
M1-A06441R1-- 04 001,MB02,OilWet,30.15127777777778,24.69,0.0,45.0,26.0,8.0,32.0
M1-A06441XZ-- 01 002,MB02,OilWet,27.480416666666663,31.41,0.0,45.0,25.0,10.0,86.0
M1-B00163---- 08 008,MB02,OilWet,31.816388888888888,21.79,0.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 003,MB02,OilWet,36.59,26.73,26.97,50.4,17.4,0.0,46.9
M1-B00163R4-- 01 004,MB02,OilWet,30.28736111111111,32.09,0.0,50.0,15.5,19.5,94.0
M1-B00163RT-- 01 002,MB02,OilWet,30.3,29.03,4.2,34.1,8.3,0.0,84.5
M1-B00163XM-- 02 003,MB02,OilWet,26.01,20.8,20.04,0.0,0.0,0.0,0.0
M1-B00458---- 12 003,MB02,OilWet,35.45,25.86,27.07,45.5,25.9,0.0,34.3
M1-B00458B1-- 02 002,MB02,OilWet,30.37,25.15,17.16,55.7,14.4,0.0,30.2
M1-B00460B--- 02 001,MB02,OilWet,29.91166666666667,28.48,0.0,72.0,5.0,46.0,91.0
M1-B00460B--- 04 009,ML10,OilWet,45.75277777777778,23.09,0.0,0.0,0.0,0.0,0.0
M1-B15563---- 01 005,ML09,OilWet,29.554861111111112,29.86,0.0,35.0,19.0,13.0,91.0
M1-B15563R1-- 03 002,MB02,OilWet,28.98,29.04,-0.19,36.7,5.0,0.0,90.7
M1-C10430---- 05 005,MB03,NoOilDry,34.44,21.96,36.25,0.0,0.0,0.0,0.0
M1-M08161Y--- 02 011,MB02,OilWet,21.528666666666666,27.84,0.0,45.0,5.0,108.0,50.0
M1-R00037---- 12 001,MB03,OilWet,36.66763888888889,21.05,0.0,0.0,0.0,0.0,0.0
M1-R00218W1-- 01 003,ML05,NoOilDry,39.811527777777776,40.21,0.0,86.0,0.0,78.0,203.0
M1-S00211---- 10 001,ML09,OilWet,40.18486111111111,34.48,0.0,49.0,68.0,20.0,90.0
M1-S08156---- 20 002,ML07,OilWet,31.15,28.41,8.8,40.4,54.0,18.4,44.4
M1-S08156B1-- 01 004,ML07,OilWet,25.12,22.85,9.03,0.0,0.0,0.0,0.0
M1-T00011-M-- 01 003,ML10,OilWet,44.33,37.52,15.35,35.0,26.2,23.8,90.1
M1-T00011-M-- 01 004,ML10,OilWet,42.57763888888889,44.01,0.0,37.0,29.5,20.0,96.0
M1-T00011B2-- 16 002,MB03,OilWet,24.97,24.46,2.04,38.2,32.4,21.6,41.1
M1-T00011B2-- 22 004,MB03,OilWet,27.34,26.52,2.99,49.6,14.9,80.2,31.5
M1-T00011B2-- 23 003,ML10,OilWet,46.53944444444445,24.24,0.0,0.0,0.0,0.0,0.0
M1-T00011B8-- 02 001,MB02,OilWet,25.345555555555556,32.27,0.0,39.0,35.0,18.0,88.0
