OrderID,BatchNumber,CompoundName,MixerLine,material_system,phase_route,system_route_branch,shadow_cohort,safe_bounds_match_level,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,has_drymix_stage,has_wetmix_stage,has_pid_stage,has_bottom_stage,has_oilloading_stage,historical_best_actual_saving_pct,model_adjusted_saving_pct,top_uncertainty_factor_1,top_uncertainty_factor_2,top_uncertainty_factor_3,uncertainty_explanation_text,engineer_facing_explanation
1788106,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,12.99,13.03,material_initial_temperature_difference,supplier_COA_difference,historical_batch_age_or_recency,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because material initial temperature, supplier COA, and historical batch age differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: material_initial_temperature_difference, supplier_COA_difference, historical_batch_age_or_recency. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1788106,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.994,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,10.79,10.83,supplier_COA_difference,historical_batch_age_or_recency,ambient_humidity_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and ambient humidity differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: supplier_COA_difference, historical_batch_age_or_recency, ambient_humidity_difference. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1788106,3,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,9.9,9.94,supplier_COA_difference,historical_batch_age_or_recency,ambient_humidity_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and ambient humidity differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: supplier_COA_difference, historical_batch_age_or_recency, ambient_humidity_difference. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1782695,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,1.0,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1782695,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,1.0,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1782695,3,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.999,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1786097,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,12.52,12.56,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: supplier_COA_difference, historical_batch_age_or_recency, material_initial_temperature_difference. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1786097,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,10.59,10.63,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: supplier_COA_difference, historical_batch_age_or_recency, material_initial_temperature_difference. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1786097,4,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,10.83,10.87,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: supplier_COA_difference, historical_batch_age_or_recency, material_initial_temperature_difference. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1780454,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.997,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,12.59,12.63,ambient_humidity_difference,supplier_COA_difference,historical_batch_age_or_recency,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because ambient humidity, supplier COA, and historical batch age differ.","Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: ambient_humidity_difference, supplier_COA_difference, historical_batch_age_or_recency. Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1887430,4,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1887430,5,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
1887430,6,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L2_PRELIMINARY_RECIPE_WINDOW,22,5,M1-B00163XV-- 01 001;M1-B00163R4-- 01 003;M1-B00163XV-- 01 002;M1-B00163---- 08 005;M1-B00163XV-- 01 003,0.985,SHADOW_REVIEW_ONLY_WITH_PRELIMINARY_WINDOW,SHADOW_REVIEW_ONLY,True,True,False,True,True,,0.0,,,,,"Historical best performance suggests this candidate profile has been feasible. The model re-predicts it under current material, environment, batch, and machine conditions. The reported saving is model-adjusted, not raw historical saving. Main uncertainty factors: , , . Rotor speed and ram averages are monitoring references, not setpoint recommendations unless confirmed controllable."
