CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-A00205---- 09 001,CarbonBlack,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,5,41.6,50.0,49.0,3.0,5.0,4.0,38.0,62.0,62.0,117.0,128.0,119.0,150.0,150.0,150.0
M1-A00205---- 09 003,CarbonBlack,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 002,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 003,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,86,53.0,54.0,53.0,3.0,8.0,5.0,30.0,39.75,34.0,73.0,124.75,104.0,150.0,150.0,150.0
M1-A00205W4-- 01 001,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,9,51.0,52.0,51.0,5.0,11.2,8.0,47.0,51.6,49.0,78.0,79.0,78.0,150.0,150.0,150.0
M1-A00268R2-- 05 001,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,17,31.0,31.0,31.0,5.0,20.0,5.0,14.6,30.4,27.0,50.0,53.2,52.0,145.0,145.0,145.0
M1-A00268R2-- 05 003,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 05 006,CarbonBlack,OilWet,MB02,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 06 007,CarbonBlack,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,8,29.0,29.0,29.0,20.0,23.65,21.5,19.7,43.0,32.0,92.0,124.3,117.5,150.0,150.0,150.0
M1-A00517B--- 04 001,CarbonBlack,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,11,70.0,71.5,71.0,18.5,29.0,24.0,20.0,24.5,22.0,60.5,139.5,64.0,150.0,150.0,150.0
M1-A00517B3-- 01 002,CarbonBlack,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,6,54.0,54.0,54.0,36.0,40.0,37.5,20.25,26.0,22.0,119.0,122.0,121.5,155.0,155.0,155.0
M1-A00517B3-- 01 003,CarbonBlack,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,19,53.0,54.0,54.0,42.9,57.1,48.0,19.0,30.0,24.0,78.9,186.0,178.0,156.0,156.0,156.0
M1-A03391---- 09 003,CarbonBlack,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03391---- 09 005,CarbonBlack,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
