OrderID,BatchNumber,CompoundName,MixerLine,material_system,phase_route,actual_mny,spec_lower,spec_upper,actual_kwh_per_batch,recommended_kwh_per_batch,actual_kwh_per_ton,recommended_kwh_per_ton,estimated_saving_kwh,estimated_saving_pct,mooney_pred,confidence_label,status
2024~1301112,1,M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,39.66,36.16,43.16,28.810416666666665,22.14,122.74675390545748,94.33,0.0,0.0,37.25,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1301112,2,M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,39.66,36.16,43.16,27.361666666666668,22.14,116.57435585311421,94.33,0.0,0.0,36.59,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1301112,3,M1-A00205W3-- 03 002,MB02,CarbonBlack,OilWet,39.66,36.16,43.16,27.047361111111112,22.14,115.23525732061945,94.33,0.0,0.0,36.66,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1890960,19,M1-A00205W3-- 03 003,MB02,CarbonBlack,OilWet,39.05,35.55,42.55,28.847916666666666,27.18,122.90652262122133,115.82,0.0,0.0,42.37,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1893903,29,M1-A00205W3-- 03 003,MB02,CarbonBlack,OilWet,43.29,39.79,46.79,29.06,27.04,123.83,115.22,2.02,6.95,41.9,HIGH,SUCCESS_OPTIMIZED
2025~1771771,25,M1-A00205W3-- 03 003,MB02,CarbonBlack,OilWet,42.25,38.75,45.75,27.41,26.52,116.77,112.99,0.89,3.24,41.11,HIGH,SUCCESS_OPTIMIZED
2024~1330226,8,M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,41.58,38.08,45.08,29.424188034188035,28.36,125.41897776788933,120.88,0.0,0.0,43.79,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1323971,5,M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,38.08,34.58,41.58,27.683055555555555,28.36,117.99749665939345,120.88,0.0,0.0,42.68,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1323971,8,M1-A00205W4-- 01 001,MB02,CarbonBlack,OilWet,38.08,34.58,41.58,27.81361111111111,28.36,118.55398251044468,120.88,0.0,0.0,42.79,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1931896,14,M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,44.86,41.36,48.36,24.23226325757576,21.24,104.4815785666956,91.6,0.0,0.0,42.48,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1931896,16,M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,44.86,41.36,48.36,26.24,21.24,113.15,91.6,5.0,19.05,43.28,HIGH,SUCCESS_OPTIMIZED
1931896,17,M1-A00268R2-- 05 003,MB02,CarbonBlack,OilWet,44.86,41.36,48.36,24.60635416666667,21.24,106.09453598193205,91.6,0.0,0.0,42.9,HIGH,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1786357,1,M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,47.29,43.79,50.79,26.795972222222222,25.1,116.03575970031275,108.7,0.0,0.0,45.17,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1786357,2,M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,47.29,43.79,50.79,24.39888888888889,24.32,105.65556586589683,105.32,0.0,0.0,45.16,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1786357,3,M1-A00268XM-- 02 004,MB02,CarbonBlack,OilWet,47.29,43.79,50.79,24.31625,26.67,105.29771110423755,115.51,0.0,0.0,45.49,HIGH,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1393736,1,M1-A03391---- 09 001,MB03,CarbonBlack,OilWet,47.71,44.21,51.21,33.4345811287478,32.31,222.89720752498536,215.37,0.0,0.0,45.3,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1393736,2,M1-A03391---- 09 001,MB03,CarbonBlack,OilWet,47.71,44.21,51.21,31.312420634920635,32.28,208.7494708994709,215.21,0.0,0.0,45.78,HIGH,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1393736,3,M1-A03391---- 09 001,MB03,CarbonBlack,OilWet,47.71,44.21,51.21,30.714198412698416,32.26,204.76132275132278,215.1,0.0,0.0,45.67,HIGH,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2411294,20,M1-A06441R1-- 04 001,MB02,CarbonBlack,OilWet,54.05,50.55,57.55,30.15127777777778,24.69,119.10775645849009,97.54,0.0,0.0,57.11,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1860389,1,M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,57.76,54.26,61.26,27.480416666666663,31.41,108.55695071482315,124.07,0.0,0.0,53.46,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1860389,2,M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,57.76,54.26,61.26,26.60527777777778,31.22,105.09985578128918,123.33,0.0,0.0,53.65,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
1860389,3,M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,57.76,54.26,61.26,26.361944444444443,31.38,104.13860672184599,123.98,0.0,0.0,53.59,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
7727355,6,M1-B00163---- 08 008,MB02,CarbonBlack,OilWet,31.58,28.08,35.08,31.816388888888888,21.79,115.18734017182425,78.9,0.0,0.0,28.9,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1364335,1,M1-B00163R4-- 01 003,MB02,CarbonBlack,OilWet,34.45,30.95,37.95,36.59,26.73,139.05,101.55,9.87,26.97,33.19,HIGH,SUCCESS_OPTIMIZED
2024~1364335,2,M1-B00163R4-- 01 003,MB02,CarbonBlack,OilWet,34.45,30.95,37.95,34.63,27.13,131.6,103.08,7.51,21.67,33.0,HIGH,SUCCESS_OPTIMIZED
2024~1364335,3,M1-B00163R4-- 01 003,MB02,CarbonBlack,OilWet,34.45,30.95,37.95,32.676944444444445,29.95,124.16263325341897,113.81,0.0,0.0,32.49,HIGH,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2244676,4,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,29.11,25.61,32.61,30.28736111111111,32.09,115.08292999200856,121.94,0.0,0.0,32.3,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2244676,5,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,29.11,25.61,32.61,30.209305555555556,32.09,114.7863421842252,121.94,0.0,0.0,32.53,LOW,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2244676,6,M1-B00163R4-- 01 004,MB02,CarbonBlack,OilWet,29.11,25.61,32.61,31.045,32.09,117.96173157823314,121.94,0.0,0.0,32.18,MEDIUM,NO_VALID_CANDIDATE_FALLBACK_NOMINAL
2024~1627908,8,M1-B00163RT-- 01 002,MB02,CarbonBlack,OilWet,57.15,53.65,60.65,30.3,29.03,124.21,118.99,1.27,4.2,57.07,HIGH,SUCCESS_OPTIMIZED
2064013,1,M1-B00163XM-- 02 003,MB02,CarbonBlack,OilWet,31.19,27.69,34.69,26.01,20.8,98.84,79.03,5.21,20.04,30.93,HIGH,SUCCESS_OPTIMIZED
2064013,2,M1-B00163XM-- 02 003,MB02,CarbonBlack,OilWet,31.19,27.69,34.69,25.63,20.8,97.4,79.03,4.83,18.86,30.45,HIGH,SUCCESS_OPTIMIZED
2024~1384350,3,M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,41.8,38.3,45.3,35.45,25.86,138.6,101.08,9.6,27.07,41.45,HIGH,SUCCESS_OPTIMIZED
2024~1362727,1,M1-B00458B1-- 02 002,MB02,CarbonBlack,OilWet,42.55,39.05,46.05,30.37,25.15,118.72,98.34,5.21,17.16,41.52,HIGH,SUCCESS_OPTIMIZED
2024~1362727,2,M1-B00458B1-- 02 002,MB02,CarbonBlack,OilWet,42.55,39.05,46.05,28.91,24.47,113.02,95.67,4.44,15.35,41.49,HIGH,SUCCESS_OPTIMIZED
