OrderID,BatchNumber,CompoundName,MixerLine,material_system,phase_route,system_route_branch,shadow_cohort,safe_bounds_match_level,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,has_drymix_stage,has_wetmix_stage,has_pid_stage,has_bottom_stage,has_oilloading_stage,actual_current_kwh_per_batch,mode_b_predicted_current_kwh_per_batch,mode_b_predicted_recommended_kwh_per_batch,shadow_actual_saving_kwh,shadow_actual_saving_pct,model_based_saving_kwh,model_based_saving_pct,current_kwh_per_batch,recommended_kwh_per_batch,saving_kwh,saving_pct,current_mooney_pred,recommended_mooney_pred,recommended_mooney_low,recommended_mooney_high,mooney_spec_low,mooney_spec_high,confidence_label,ood_flag,valid_candidate_count,safe_bound_status,route_stage_status,recommendation_status,rejection_reason,selected_template_id,historical_best_actual_saving_pct,model_adjusted_saving_pct,top_uncertainty_factor_1,top_uncertainty_factor_2,top_uncertainty_factor_3,uncertainty_explanation_text,operating_profile_reference_status,current_DryMixing_Duration,recommended_DryMixing_Duration,delta_DryMixing_Duration,current_WetMixing_Duration,recommended_WetMixing_Duration,delta_WetMixing_Duration,current_PID_Duration,recommended_PID_Duration,delta_PID_Duration,current_BottomMixing_Duration,recommended_BottomMixing_Duration,delta_BottomMixing_Duration,actual_mny,actual_kwh_per_batch,actual_kwh,predicted_current_kwh_per_batch,predicted_current_kwh,predicted_recommended_kwh,actual_kwh_per_ton,predicted_current_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_batch,predicted_baseline_kwh_per_ton,estimated_saving_kwh,estimated_saving_pct,mooney_pred_current,mooney_pred_recommended,mooney_interval_recommended_lower,mooney_interval_recommended_upper,confidence,valid_candidates_count,review_readiness,rejection_reason_top1,gate_pass_reason
1788106,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.84,27.35,25.08,3.76,13.03,2.27,8.29,28.84,25.08,3.76,13.03,42.28,42.22,40.46,43.99,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,12.99,13.03,material_initial_temperature_difference,supplier_COA_difference,historical_batch_age_or_recency,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because material initial temperature, supplier COA, and historical batch age differ.",OPERATING_PROFILE_REFERENCE,44.0,45.0,1.0,9.0,10.0,1.0,0.0,0.0,0.0,53.0,31.0,-22.0,43.49,28.84,28.84,27.35,27.35,25.08,112.74,112.74,98.05,27.35,112.74,3.76,13.03,42.28,42.22,40.46,43.99,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1788106,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.994,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.13,27.32,25.08,3.04,10.83,2.24,8.2,28.13,25.08,3.04,10.83,42.42,42.42,40.66,44.18,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,10.79,10.83,supplier_COA_difference,historical_batch_age_or_recency,ambient_humidity_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and ambient humidity differ.",OPERATING_PROFILE_REFERENCE,45.0,45.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,53.0,31.0,-22.0,43.49,28.13,28.13,27.32,27.32,25.08,109.96,109.96,98.05,27.32,109.96,3.04,10.83,42.42,42.42,40.66,44.18,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1788106,3,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,27.85,27.28,25.08,2.77,9.94,2.2,8.08,27.85,25.08,2.77,9.94,42.22,42.22,40.45,43.98,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,9.9,9.94,supplier_COA_difference,historical_batch_age_or_recency,ambient_humidity_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and ambient humidity differ.",OPERATING_PROFILE_REFERENCE,45.0,45.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,52.0,31.0,-21.0,43.49,27.85,27.85,27.28,27.28,25.08,108.87,108.87,98.05,27.28,108.87,2.77,9.94,42.22,42.22,40.45,43.98,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1786097,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.68,27.51,25.08,3.6,12.56,2.43,8.84,28.68,25.08,3.6,12.56,41.48,41.52,39.75,43.28,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,12.52,12.56,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.",OPERATING_PROFILE_REFERENCE,45.0,45.0,0.0,12.0,10.0,-2.0,0.0,0.0,0.0,54.0,31.0,-23.0,41.96,28.68,28.68,27.51,27.51,25.08,112.13,112.13,98.05,27.51,112.13,3.6,12.56,41.48,41.52,39.75,43.28,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1786097,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.06,27.47,25.08,2.98,10.63,2.39,8.71,28.06,25.08,2.98,10.63,41.77,41.77,40.01,43.54,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,10.59,10.63,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.",OPERATING_PROFILE_REFERENCE,45.0,45.0,0.0,11.0,10.0,-1.0,0.0,0.0,0.0,52.0,31.0,-21.0,41.96,28.06,28.06,27.47,27.47,25.08,109.72,109.72,98.05,27.47,109.72,2.98,10.63,41.77,41.77,40.01,43.54,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1786097,4,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.14,27.47,25.08,3.06,10.87,2.39,8.71,28.14,25.08,3.06,10.87,41.15,41.21,39.44,42.97,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,10.83,10.87,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because supplier COA, historical batch age, and material initial temperature differ.",OPERATING_PROFILE_REFERENCE,45.0,45.0,0.0,13.0,10.0,-3.0,0.0,0.0,0.0,52.0,31.0,-21.0,41.96,28.14,28.14,27.47,27.47,25.08,110.01,110.01,98.05,27.47,110.01,3.06,10.87,41.15,41.21,39.44,42.97,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
1780454,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.997,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.71,27.47,25.08,3.63,12.63,2.39,8.71,28.71,25.08,3.63,12.63,42.31,42.31,40.55,44.07,39.23,46.23,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2025~1742938,12.59,12.63,ambient_humidity_difference,supplier_COA_difference,historical_batch_age_or_recency,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because ambient humidity, supplier COA, and historical batch age differ.",OPERATING_PROFILE_REFERENCE,46.0,45.0,-1.0,10.0,10.0,0.0,0.0,0.0,0.0,52.0,31.0,-21.0,42.73,28.71,28.71,27.47,27.47,25.08,112.23,112.23,98.05,27.47,112.23,3.63,12.63,42.31,42.31,40.55,44.07,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
2024~1274870,1,M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1121,5,M1-B00458XM-- 04 002;M1-B00458XV-- 01 002;M1-B00458B1-- 02 003;M1-B00458B1-- 02 002;M1-B00458B1-- 02 001,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.48,27.53,25.64,2.84,9.98,1.89,6.85,28.48,25.64,2.84,9.98,41.2,41.26,39.5,43.03,36.44333333333333,43.44333333333333,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2024~1420089,10.83,9.98,material_initial_temperature_difference,ambient_humidity_difference,ambient_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because material initial temperature, ambient humidity, and ambient temperature differ.",OPERATING_PROFILE_REFERENCE,51.0,60.0,9.0,26.0,5.0,-21.0,0.0,0.0,0.0,53.0,33.0,-20.0,39.94,28.48,28.48,27.53,27.53,25.64,111.36,111.36,100.24,27.53,111.36,2.84,9.98,41.2,41.26,39.5,43.03,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
2024~1274870,4,M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1121,5,M1-B00458XM-- 04 002;M1-B00458XV-- 01 002;M1-B00458B1-- 02 003;M1-B00458B1-- 02 002;M1-B00458B1-- 02 001,0.996,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,27.89,27.9,25.64,2.25,8.06,2.26,8.11,27.89,25.64,2.25,8.06,40.61,40.68,38.91,42.44,36.44333333333333,43.44333333333333,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2024~1420089,8.92,8.06,material_initial_temperature_difference,ambient_humidity_difference,ambient_temperature_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because material initial temperature, ambient humidity, and ambient temperature differ.",OPERATING_PROFILE_REFERENCE,51.0,60.0,9.0,36.0,5.0,-31.0,0.0,0.0,0.0,53.0,33.0,-20.0,39.94,27.89,27.89,27.9,27.9,25.64,109.02,109.02,100.24,27.9,109.02,2.25,8.06,40.61,40.68,38.91,42.44,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
2024~1384350,3,M1-B00458---- 12 003,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,TEST_HOLDOUT,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1121,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.988,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,35.45,31.57,26.39,9.06,25.56,5.18,16.41,35.45,26.39,9.06,25.56,41.54,41.51,39.74,43.27,38.3,45.3,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RECOMMENDED,GATE_PASS_OPTIMAL,2024~1408814,28.26,25.56,material_initial_temperature_difference,ambient_humidity_difference,supplier_COA_difference,"Historical best energy was lower, but the model re-predicts the template under current conditions and adjusts saving because material initial temperature, ambient humidity, and supplier COA differ.",OPERATING_PROFILE_REFERENCE,60.0,60.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,114.0,34.0,-80.0,41.8,35.45,35.45,31.57,31.57,26.39,138.6,138.6,103.17,31.57,138.6,9.06,25.56,41.54,41.51,39.74,43.27,HIGH,20,PILOT_REVIEW_READY,,GATE_PASS_OPTIMAL
